Transaction Date,Ticker,Full Name,Transaction,Amount (USD),Description
2019-08-07,VISA INC.,V,Sale,"100,001 - 250,000","Sale Of 1,000 Shares"
2019-08-07,VISA INC.,V,Sale,"100,001 - 250,000",Sale Of 1.000 Shares
2019-07-22,"AMAZON.COM, INC.",AMZN,Purchase,"500,001 - 1,000,000",Purchased 20 Call Options
2019-07-22,"NETFLIX, INC.",NFLX,Purchase,"100,001 - 250,000",Purchased 30 Call Options
2019-07-05,"NETFLIX, INC.",NFLX,Purchase,"250,001 - 500,000",Purchased 20 Call Options
2019-06-18,SALESFORCE.COM INC,CRM,Purchase,"100,001 - 250,000",Purchased 80 Call Options
2019-06-14,SALESFORCE.COM INC,CRM,Purchase,"50,001 - 100,000",Purchased 20 Call Options
2018-10-24,AT&T INC.,T,Purchase,"250,001 - 500,000","Purchased 10,000 Shares"
2018-10-12,"AMAZON.COM, INC.",AMZN,Purchase,"1,000,001 - 5,000,000",Purchased 30 Call Options
2018-10-09,"FACEBOOK, INC.",FB,Purchase,"100,001 - 250,000",Purchased 30 Call Options
2018-09-20,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Exercised 50 Call Options
2018-09-20,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Exercised 50 Call Options
2018-09-11,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Purchased 100 Call Options
2018-07-27,"AMAZON.COM, INC.",AMZN,Purchase,"500,001 - 1,000,000",Purchase Of 20 Call Options
2018-07-27,"FACEBOOK, INC.",FB,Purchase,"50,001 - 100,000",Purchase Of 20 Call Options
2018-03-27,"DROPBOX, INC.",DBX,Purchase,"250,001 - 500,000","Purchase Of 10,000 Shares"
2018-02-02,APPLE INC.,AAPL,Purchase,"100,001 - 250,000",Purchase Of 50 Call Options
2018-02-02,APPLE INC.,AAPL,Purchase,"100,001 - 250,000",Purchase Of 50 Call Options
2017-12-29,APPLE INC.,AAPL,Sale,"250,001 - 500,000","Contribution Of 2,800 Shares"
2017-12-28,APPLE INC.,AAPL,Sale,"1,000,001 - 5,000,000","Sale Of 9,000 Shares"
2017-12-28,VISA INC.,V,Sale,"500,001 - 1,000,000","Sale Of 5,000 Shares"
2017-12-21,APPLE INC.,AAPL,Sale,"100,001 - 250,000","Contribution Of 1,300 Shares"
2017-12-21,VISA INC.,V,Sale,"100,001 - 250,000","Contribution Of 1,750 Shares"
2017-06-15,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Exercised 100 Call Options
2017-01-20,APPLE INC.,AAPL,Sale,"250,001 - 500,000",Sale Of 100 Call Options
2017-01-20,"SQUARE, INC. CLASS A",SQ,Purchase,"15,001 - 50,000",Exercised 50 Call Options
